id	content	answerA	answerB	answerC	answerD	Correct	tags	difficulty	type	version
82	What grape variety is not typical for Burgundy?	Merlot	Pinot Noir	Chardonnay	Gamay	Merlot	"wine, France, regions, grapes, Burgundy, Location"	2	Multiple	11
83	What region is famous for Chassagne-Montrachet wines?	Burgundy	Bordeaux	Alsace	Loire Valley	Burgundy	"wine, France, regions, appellations, Burgundy, Location"	3	Multiple	11
84	What region is famous for Rully wines?	Burgundy	Bordeaux	Provence	Jura	Burgundy	"wine, France, regions, appellation, Burgundy, Location"	3	Multiple	11
85	What grape variety is used to produce Pouilly Fuissé wines?	Chardonnay	Sauvignon Blanc	Sémillon	Roussanne	Chardonnay	"wine, France, regions, appellations, grapes, Burgundy, Location"	3	Multiple	11
86	What is the highest classification of wines in Burgundy?	Grand Cru	Premier Cru	Village	Châteaux	Grand Cru	"wine, France, regions, Burgundy, Location"	2	Multiple	11
87	What is the climate in Alsace?	Cool continental	Moderate continental	Cool maritime	Moderate mediterranean	Cool continental	"wine, France, Alsace, Location"	3	Multiple	11
88	What region is protected by Vosges mountain?	Alsace	Burgundy	Languedoc	Northern Rhône Valley	Alsace	"wine, France, regions, Alsace, Location"	3	Multiple	11
89	What red grape variety is grown in Alsace?	Pinot Noir	Merlot	Cabernet Sauvignon	Syrah	Pinot Noir	"wine, France, regions, grapes, Alsace, Location"	2	Multiple	11
90	What soil can be found in Vouvray and Chinon appellations?	Tuffeau	Slate	Granite	Kimmeridgian	Tuffeau	"wine, France, regions, appellations, Loire Valley, Location"	4	Multiple	11
91	In which appellation wines from Cabernet Franc are produced?	Chinon	Sauternes	Sancerre	Chablis	Chinon	"wine, France, regions, appellations, Loire Valley, Location"	3	Multiple	11
92	What is the climate in the Southern Rhône?	Hot Mediterranean	Cold maritime	Hot continental	Moderate mediterranean	Hot Mediterranean	"wine, France, regions, Rhône Valley, Location"	3	Multiple	11
93	What region is highly influenced by the Mistral wind?	Rhône Valley	Alsace	Rioja	Tokay	Rhône Valley	"wine, France, regions, Rhône Valley, Location"	4	Multiple	11
94	What appellation produces only 100% Syrah wines?	Cornas	Hermitage	Condrieu	Côte Rotie	Cornas	"wine, France, regions, appellations, grapes, Rhône Valley, Location"	3	Multiple	11
95	What appellation in Rhône Valley allows only rosé wines?	Tavel	Lirac	Vacqueyras	Cornas	Tavel	"wine, France, regions, appellations, Rhône Valley, Location"	4	Multiple	11
96	What is the French name for the Monastrell grape variety?	Mourvèdre	Malvasia	Malbec	Madiran	Mourvèdre	"wine, France, grapes"	4	Multiple	11
97	What region includes Bandol AOC?	Provence	Loire Valley	Rhône Valley	Bordeaux	Provence	"wine, France, regions, appellations, Provence, Location"	4	Multiple	11
98	What region includes Fitou AOC?	Languedoc Roussillon	Loire Valley	Jura	Burgundy	Languedoc Roussillon	"wine, France, regions, appellations, Languedoc-Roussillon, Location"	4	Multiple	11
99	What city is the heart of the Mosel region?	Bernkastel	Johannisberg	Frankfurt	Kremstal	Bernkastel	"wine, Germany, regions, Mosel, Location"	4	Multiple	11
100	"What German region uses “Erstes Gewächs"" on their labels?"	Rheingau	Mosel	Pfalz	Baden	Rheingau	"wine, Germany, regions, Rheinagu, Location"	4	Multiple	11
101	What does Trocken mean on a wine label?	Dry wine	Sweet wine	Red wine	Sparkling wine	Dry wine	"wine, Germany Austria, Location"	3	Multiple	11
102	What is the minimal ABV for German wines marked as Classic?	12%	12.5%	13%	11%	12%	"wine, Germany, Location"	4	Multiple	11
103	What does Erste Lage mean?	A designation used by the VDP to denote the best sites	The first vintage from the given vineyard	The date when the first grapes were picked 	The best wine of the given producer	A designation used by the VDP to denote the best sites	"wine, Germany, Location"	3	Multiple	11
104	What does Trockenbeerenauslese mean?	German sweet wine made from grapes affected by noble rot	German sweet wine made by drying grapes	German dry wine made with Auslese grapes	German wine a bit less sweeter then trocken wine	German sweet wine made from grapes affected by noble rot	"wine, Germany, Austria, Location"	3	Multiple	11
105	What is the lowest level of quality wines in Germany?	QbA	Kabinett	Weissherbst	Grosses Gewächs	QbA	"wine, Germany, Location"	3	Multiple	11
106	What is the climate in Austria?	Moderate continental	Hot continental	Cold maritime	Moderate maritime	Moderate continental	"wine, Austria, Location"	3	Multiple	11
107	What white grape variety is popular in Austria?	Grüner Veltliner	Torrontes	Verdejo	Chardonnay	Grüner Veltliner	"wine, Austria, grapes, Location"	2	Multiple	11
108	What Austrian region is famous for its botrytis influenced wines?	Neusiedlersee	Wachau	Burgenland	Kremstal	Neusiedlersee	"wine, Austria, regions, Neusiedlersee, Location"	3	Multiple	11
109	What is the name of Austrian sparkling wine?	Sekt	Cava	Champagne	Smaragd	Sekt	"wine, Austria, sparkling, Location"	3	Multiple	11
110	In which region Szamorodni wine is produced?	Tokaji	Moravia	Wachau	Mosel	Tokaji	"wine, Hungry, sweet, Tokaj, Location"	2	Multiple	11
111	What is the highest aszú level?	6 puttonyos	4 puttonyos	3 puttonyos	8 puttonyos	6 puttonyos	"wine, Hungry, sweet, Tokaj, Location"	2	Multiple	11
112	What grape variety is usually used to produce red wines in Naoussa? 	Xinomavro	Sangiovese	Sauvignon Blanc	Kadarka	Xinomavro	"wine, Greece, grapes, Location"	3	Multiple	11
113	What grape variety is usually used to produce white wines on the Greek island Santorini?	Assyrtiko	Fiano	Greco	Riesling	Assyrtiko	"wine, Greece, grapes, Location"	3	Multiple	11
114	What is the other name of the Brunello grape variety?	Sangiovese	Nebbiolo	Montepulciano	Montepulciano	Sangiovese	"wine, Italy, grapes, Tuscany, Location"	3	Multiple	11
115	What grape varieties are used to produce Soave Classico?	Garganega and Trebbiano	Greco and Trebbiano	Fino and Sangiovese	Arneis and Fiano	Garganega and Trebbiano	"wine, Italy, grapes, regions, appellations, Veneto, Location"	3	Multiple	11
116	What grape variety is used to produce Barolo DOCG wines?	Nebbiolo	Arneis	Barbera	Barolo	Nebbiolo	"wine, Italy, grapes, regions, appellations, Piemonte, Location"	2	Multiple	11
117	What grape variety is used to produce Barbaresco DOCG wines?	Nebbiolo	Montepulciano	Barolo	Sangiovese	Nebbiolo	"wine, Italy, grapes, regions, appellations, Piemonte, Location"	2	Multiple	11
118	What grape variety is used to produce Roero DOCG wines?	Arneis	Greco	Garganega	Chardonnay	Arneis	"wine, Italy, grapes, regions, appellations, Piemonte, Location"	3	Multiple	11
119	In which part of Italy can you find Alto Adige region?	North-East	South-East	Centre	North-West	North-East	"wine, Italy, regions, Trentino-Alto Adige, Location"	3	Multiple	11
120	"What region is famous for its blends of Corvina, Molinara, Rondinella grapes varieties?"	Veneto	Tuscany	Sardinia	Lazio	Veneto	"wine, Italy, regions, grapes, Veneto, Location"	3	Multiple	11
121	"Colli Senesi, Montalbano, Rùfina are part of which area?"	Chianti	Barolo	Marche	Sardinia	Chianti	"wine, Italy, regions, appellations, Tuscany, Location"	4	Multiple	11
122	In which region can you find Orvieto DOC?	Umbria	Lazio	Marche	Sicily	Umbria	"wine, Italy, regions, appellations, Umbria, Location"	4	Multiple	11
123	What grape variety is used to produce wines in Vino Nobile di Montepulciano DOCG?	Sangiovese	Montepulciano	Nero d’Avola	Fiano	Sangiovese	"wine, Italy, regions, appellations, grapes,  Tuscany, Location"	2	Multiple	11
124	In which region can you find Taurasi DOCG?	Campania	Umbria	Tuscany	Veneto	Campania	"wine, Italy, regions, appellations, Campania, Location"	3	Multiple	11
125	What DOC/DOCG cannot be found in Tuscany?	San Carmignano	Vernaccia di San Gimignano	Brunello di Montalcino	Frascati	San Carmignano	"wine, Italy, regions, appellations, Tuscany, Location"	3	Multiple	11
126	What is the minimum aging time for Chianti Classico Gran Selezione?	30 months	24 months	18 months	36 months	30 months	"wine, Italy, regions, appellations, Tuscany, Location"	4	Multiple	11
127	What is the minimum aging time for Chianti Classico Riserva?	24 months 	30 months	18 months	12 months	24 months 	"wine, Italy, regions, appellations, Tuscany, Location"	4	Multiple	11
128	What is the minimum percentage of Sangiovese in Chianti Classico wines?	80%	90%	95%	100%	80%	"wine, Italy, regions, appellations, grapes, Tuscany, Location"	3	Multiple	11
129	What is the minimum percentage of Sangiovese in Brunello di Montalcino wines?	100%	80%	90%	95%	100%	"wine, Italy, regions, appellations, grapes, Tuscany, Location"	3	Multiple	11
130	What is the popular red grape variety grown in Sicily? 	Nero d’Avola	Sangiovese	Cabernet Franc	Merlot	Nero d’Avola	"wine, Italy, regions, grapes, Sicily, Location"	3	Multiple	11
131	What grape variety is used to produce wines in Condrieu AOC?	Viognier	Sauvignon Blanc	Chardonnay	Roussanne	Viognier	"wine, France, regions, grapes, appellations, Rhône Valley, Location"	3	Multiple	11
132	"What type of wine can be marked as “Fines Bulles"" on its label?"	Sparkling wine from Loire Valley	Fortified wine from Languedoc	Sweet late harvest wine from Alsace	Red dry wine made from Gamay in Provence	Sparkling wine from Loire Valley	"wine, France, regions, Loire Valley, Location"	4	Multiple	11
133	What is special about Château-Grillet AOC?	Its whole land is owned by one winery -Château-Grillet	It makes rose wines by mixing white and red wine	It makes only sparkling wines	All its vines are over 50 years old.	Its whole land is owned by one winery -Château-Grillet	"wine, France, regions, appellations, Rhône Valley, Location"	4	Multiple	11
134	What is the climate in Rias Baixas?	Maritime	Continental	Mediterranean	Tropical	Maritime	"wine, Spain, regions, North West Spain, Location"	3	Multiple	11
135	What grape is popular in Rias Baixas DO?	Albariño	Viognier	Verdejo	Greco	Albariño	"wine, Spain, regions, grapes, appellations, North West Spain, Location"	3	Multiple	11
136	What is the minimum aging time of red Rioja Crianza?	"24 months, including 12 months in oak barrels"	"24 months, including 18 months in oak barrels"	"30 months, including 12 months in oak barrels"	"18 months, including 12 months in oak barrels"	"24 months, including 12 months in oak barrels"	"wine, Spain, regions, appellations, Ebro and Pyrénées, Rioja, Location"	3	Multiple	11
137	What is the minimum aging time of red Rioja Reserva?	"36 months, including 12 months in oak barrels"	"30 months, including 12 months in oak barrels"	"36 months, including 18 months in oak barrels"	"30 months, including 18 months in oak barrels"	"36 months, including 12 months in oak barrels"	"wine, Spain, regions, appellations, Ebro and Pyrénées, Rioja, Location"	3	Multiple	11
138	What is the minimum aging time of red Rioja Gran Reserva?	"60 months, including 24 months in oak barrels"	"60 months, including 30 months in oak barrels"	"54 months, including 24 months in oak barrels"	"54 months, including 36 months in oak barrels"	"60 months, including 24 months in oak barrels"	"wine, Spain, regions, appellations, Ebro and Pyrénées, Rioja, Location"	3	Multiple	11
139	What is the minimum  aging time of white Rioja Crianza?	18 months	24 months	12 months	6 months	18 months	"wine, Spain, regions, appellations, Ebro and Pyrénées, Rioja, Location"	4	Multiple	11
140	What is the minimum  aging time of white Rioja Reserva?	"18 months, including 6 months in oak barrels"	"24 months, including 6 months in oak barrels"	"30 months, including 18 months in oak barrels"	"12 months, including 3 months in oak barrels"	"18 months, including 6 months in oak barrels"	"wine, Spain, regions, appellations, Ebro and Pyrénées, Rioja, Location"	4	Multiple	11
141	What is the minimum aging time of white Rioja Gran Reserva?	"48 months, including 12 months in oak barrels"	"36 months, including 12 months in oak barrels"	"24 months, including 12 months in oak barrels"	"60 months, including 24 months in oak barrels"	"48 months, including 12 months in oak barrels"	"wine, Spain, regions, appellations, Ebro and Pyrénées, Rioja, Location"	4	Multiple	11
142	What is the other name of the Viura grape variety?	Macabeo	Albariño	Verdejo	Parelleda	Macabeo	"wine, Spain, grapes, Location"	3	Multiple	11
143	What white grape variety is often used to produce white wines in Rioja DOC?	Viura	Verdejo	Chardonnay	Parelleda	Viura	"wine, Spain, regions, appellations, Ebro and Pyrénées, Rioja, Location"	3	Multiple	11
144	What grape variety is traditionally used to produce Cava wine?	Parelleda	Albarino	Sauvignon Blanc	Pinot Meunier	Parelleda	"wine, Spain, grapes, sparkling, Catalunya, Location"	3	Multiple	11
145	What grape variety is used in Ribera del Duero to produce red wines?	Tempranillo	Garnacha	Albariño	Mourvèdre	Tempranillo	"wine, Spain, regions, appellations, Duero Valley, grapes, Location"	3	Multiple	11
146	How is Tempranillo called in Portugal?	Aragonez	Tinta Barroca	Duoro	Mammolo	Aragonez	"wine, Portugal, grapes, Location"	4	Multiple	11
147	What is the Spanish name for Tinta Roriz?	Tempranillo	Tannat	Tejo	Torrontes	Tempranillo	"wine, Spain, grapes, Location"	4	Multiple	11
148	What river is vital for wine growing in the Toro region?	Duero 	Segre	Ripoll	Júcar	Duero 	"wine, Spain, regions, Duero Valley, Location"	4	Multiple	11
149	What river is vital for wine growing in the Rheingau region?	Rhine	Elbe	Danube	Oder	Rhine	"wine, Germany, regions, Rheinagu, Location"	4	Multiple	11
150	What Spanish region is famous for its Llicorella soil?	Priorat	Rioja	Valdepenas	Mencio	Priorat	"wine, Spain, regions, Catalunya, Location"	4	Multiple	11
151	What is not a part of Rioja DOC?	Rioja Tinta	Rioja Alta	Rioja Baja 	Rioja Alavesa	Rioja Tinta	"wine, Spain, regions, appellations, Ebro and Pyrénées, Rioja, Location"	4	Multiple	11
152	How much fruit needs to come from a given AVA to have the AVA name on the wine label?	85%	80%	95%	90%	85%	"wine, USA, Location"	4	Multiple	11
153	Los Carneros is part of which region?	California	Casablanca Valley	Central Otago	Margaret River	California	"wine, USA, regions, California, Location"	3	Multiple	11
154	What is the name of a grape variety which for long time was considered as Merlot in Chile?	Carmenere	Tannat	Cabernet Franc	Carignan	Carmenere	"wine, Chile, grapes, Location"	3	Multiple	11
155	What is the main grape variety in Madiran AOC?	Tannat	Carmenere	Mourvèdre	Madeira	Tannat	"wine, France, grapes, South West France, Location"	3	Multiple	11
156	Madiran AOC is part of which French region?	Gascony	Bordeaux	Languedoc	Rhône Valley	Gascony	"wine, France, regions, South West France, Location"	3	Multiple	11
157	What country is free of phylloxera?	Chile	New Zealand	France	USA	Chile	"wine, Chile, vitis, Location"	3	Multiple	11
158	What is the flagship red grape variety of Argentina?	Malbec	Tannat	Carmenere	Torrontes	Malbec	"wine, Argentina, grapes, Location"	2	Multiple	11
159	What area is NOT part of Mendoza region?	Maipo	Uco Valley	Luján de Cuyo	Maipu	Maipo	"wine, Argentina, regions, Mendoza, Location"	4	Multiple	11
160	What is the flagship red grape variety of South Africa?	Pinotage	Tannat	Chenin Noir	Shiraz	Pinotage	"wine, grapes, South Africa, Location"	2	Multiple	11
